Zipcode,City,Lat,Long,State
720,OROCOVIS,18.22,-66.39,PR
723,PATILLAS,18,-66.01,PR
624,PENUELAS,18.06,-66.72,PR
716,PONCE,17.98,-66.6,PR
717,PONCE,17.98,-66.6,PR
730,PONCE,17.98,-66.6,PR
731,PONCE,17.98,-66.6,PR
732,PONCE,17.98,-66.6,PR
733,PONCE,17.98,-66.6,PR
734,PONCE,17.98,-66.6,PR
740,PUERTO REAL,18.33,-65.63,PR
741,PUNTA SANTIAGO,18.15,-65.76,PR
678,QUEBRADILLAS,18.47,-66.93,PR
677,RINCON,18.34,-67.25,PR
744,RIO BLANCO,18.22,-65.79,PR
721,PALMER,18.37,-65.77,PR
745,RIO GRANDE,18.38,-65.83,PR
637,SABANA GRANDE,18.08,-66.96,PR
688,SABANA HOYOS,18.38,-66.62,PR
952,SABANA SECA,18.42,-66.19,PR
751,SALINAS,17.97,-66.29,PR
690,SAN ANTONIO,18.49,-67.09,PR
683,SAN GERMAN,18.08,-67.04,PR
901,SAN JUAN,18.4,-66.06,PR
902,SAN JUAN,18.4,-66.06,PR
906,SAN JUAN,18.4,-66.06,PR
907,SAN JUAN,18.4,-66.06,PR
908,SAN JUAN,18.4,-66.06,PR
909,SAN JUAN,18.44,-66.06,PR
910,SAN JUAN,18.4,-66.06,PR
911,SAN JUAN,18.4,-66.06,PR
912,SAN JUAN,18.4,-66.06,PR
913,SAN JUAN,18.4,-66.06,PR
914,SAN JUAN,18.4,-66.06,PR
915,SAN JUAN,18.4,-66.06,PR
916,SAN JUAN,18.4,-66.06,PR
917,SAN JUAN,18.4,-66.06,PR
918,SAN JUAN,18.4,-66.06,PR
919,SAN JUAN,18.4,-66.06,PR
920,SAN JUAN,18.4,-66.06,PR
921,SAN JUAN,18.4,-66.06,PR
922,SAN JUAN,18.4,-66.06,PR
923,SAN JUAN,18.4,-66.06,PR
924,SAN JUAN,18.4,-66.06,PR
925,SAN JUAN,18.4,-66.06,PR
926,SAN JUAN,18.4,-66.06,PR
927,SAN JUAN,18.4,-66.06,PR
928,SAN JUAN,18.4,-66.06,PR
929,SAN JUAN,18.4,-66.06,PR
930,SAN JUAN,18.4,-66.06,PR
937,SAN JUAN,18.4,-66.06,PR
939,SAN JUAN,18.4,-66.06,PR
940,SAN JUAN,18.4,-66.06,PR
955,SAN JUAN,18.4,-66.06,PR
956,BAYAMON,18.28,-66.13,PR
957,BAYAMON,18.28,-66.13,PR
958,BAYAMON,18.28,-66.13,PR
959,BAYAMON,18.28,-66.13,PR
801,ST THOMAS,18.35,-64.93,VI
802,ST THOMAS,18.35,-64.93,VI
803,ST THOMAS,18.35,-64.93,VI
804,ST THOMAS,18.35,-64.93,VI
805,ST THOMAS,18.34,-64.93,VI
820,CHRISTIANSTED,17.74,-64.7,VI
821,CHRISTIANSTED,17.74,-64.7,VI
822,CHRISTIANSTED,17.74,-64.7,VI
823,CHRISTIANSTED,17.74,-64.7,VI
824,CHRISTIANSTED,17.74,-64.7,VI
830,ST JOHN,18.33,-64.79,VI
831,ST JOHN,18.33,-64.79,VI
840,FREDERIKSTED,17.71,-64.88,VI
841,FREDERIKSTED,17.71,-64.88,VI
850,KINGSHILL,17.76,-64.82,VI
851,KINGSHILL,17.73,-64.8,VI
2478,BELMONT,42.39,-71.18,MA
2479,WAVERLEY,42.39,-71.17,MA
2445,BROOKLINE,42.32,-71.14,MA
2446,BROOKLINE,42.32,-71.14,MA
2447,BROOKLINE VILLAGE,42.33,-71.13,MA
2420,LEXINGTON,42.44,-71.23,MA
2421,LEXINGTON,42.44,-71.23,MA
2492,NEEDHAM,42.28,-71.24,MA
2494,NEEDHAM HEIGHTS,42.28,-71.24,MA
2456,NEW TOWN,42.33,-71.2,MA
2458,NEWTON,42.33,-71.2,MA
2459,NEWTON CENTER,42.31,-71.19,MA
2460,NEWTONVILLE,42.35,-71.2,MA
2461,NEWTON HIGHLANDS,42.31,-71.2,MA
2462,NEWTON LOWER FALLS,42.33,-71.25,MA
2464,NEWTON UPPER FALLS,42.31,-71.22,MA
2465,WEST NEWTON,42.35,-71.22,MA
2466,AUBURNDALE,42.34,-71.24,MA
960,BAYAMON,18.28,-66.13,PR
961,BAYAMON,18.41,-66.15,PR
962,CATANO,18.43,-66.11,PR
963,CATANO,18.43,-66.11,PR
975,SAN JUAN,18.4,-66.06,PR
976,TRUJILLO ALTO,18.36,-66.01,PR
977,TRUJILLO ALTO,18.36,-66.01,PR
978,SAINT JUST,18.37,-66.01,PR
754,SAN LORENZO,18.19,-65.96,PR
685,SAN SEBASTIAN,18.33,-66.99,PR
757,SANTA ISABEL,17.97,-66.4,PR
953,TOA ALTA,18.39,-66.25,PR
954,TOA ALTA,18.39,-66.25,PR
949,TOA BAJA,18.44,-66.25,PR
950,TOA BAJA,18.44,-66.25,PR
951,TOA BAJA,18.44,-66.25,PR
641,UTUADO,18.27,-66.7,PR
692,VEGA ALTA,18.41,-66.32,PR
693,VEGA BAJA,18.44,-66.39,PR
694,VEGA BAJA,18.44,-66.39,PR
765,VIEQUES,18.42,-65.83,PR
766,VILLALBA,18.13,-66.48,PR
767,YABUCOA,18.04,-65.87,PR
698,YAUCO,18.03,-66.86,PR
2467,CHESTNUT HILL,42.31,-71.16,MA
2468,WABAN,42.32,-71.23,MA
2495,NONANTUM,42.33,-71.2,MA
2451,WALTHAM,42.38,-71.24,MA
2452,WALTHAM,42.38,-71.24,MA
2453,WALTHAM,42.38,-71.24,MA
2454,WALTHAM,42.38,-71.24,MA
2455,NORTH WALTHAM,42.39,-71.22,MA
2471,WATERTOWN,42.36,-71.17,MA
2472,WATERTOWN,42.36,-71.17,MA
2477,WATERTOWN,42.36,-71.17,MA
2457,BABSON PARK,42.29,-71.26,MA
2481,WELLESLEY HILLS,42.31,-71.27,MA
2482,WELLESLEY,42.3,-71.28,MA
2493,WESTON,42.36,-71.26,MA
2184,BRAINTREE,42.2,-71,MA
2185,BRAINTREE,42.2,-71,MA
2186,MILTON,42.24,-71.08,MA
2187,MILTON VILLAGE,42.26,-71.08,MA
2169,QUINCY,42.26,-71,MA
2170,QUINCY,42.26,-71,MA
2171,QUINCY,42.26,-71,MA
2269,QUINCY,42.26,-71,MA
2188,WEYMOUTH,42.2,-70.94,MA
2189,EAST WEYMOUTH,42.2,-70.94,MA
2190,SOUTH WEYMOUTH,42.2,-70.94,MA
2191,NORTH WEYMOUTH,42.2,-70.94,MA
1718,VILLAGE OF NAGOG WOODS,42.51,-71.41,MA
1719,BOXBOROUGH,42.5,-71.5,MA
1720,ACTON,42.48,-71.46,MA
2474,ARLINGTON,42.41,-71.16,MA
2475,ARLINGTON HEIGHTS,42.41,-71.18,MA
2476,ARLINGTON,42.41,-71.16,MA
2150,CHELSEA,42.39,-71.03,MA
2149,EVERETT,42.4,-71.05,MA
2152,WINTHROP,42.37,-70.98,MA
2151,REVERE,42.41,-70.99,MA
2148,MALDEN,42.43,-71.05,MA
2176,MELROSE,42.45,-71.05,MA
2153,MEDFORD,42.42,-71.1,MA
2155,MEDFORD,42.42,-71.1,MA
2156,WEST MEDFORD,42.42,-71.13,MA
2143,SOMERVILLE,42.39,-71.1,MA
2144,SOMERVILLE,42.39,-71.1,MA
2145,SOMERVILLE,42.39,-71.1,MA
2180,STONEHAM,42.47,-71.09,MA
1913,AMESBURY,42.85,-70.92,MA
1810,ANDOVER,42.65,-71.14,MA
1812,ANDOVER,42.65,-71.14,MA
1899,ANDOVER,42.65,-71.14,MA
5501,ANDOVER,42.65,-71.14,MA
1586,WEST MILLBURY,42.19,-71.76,MA
2054,MILLIS,42.16,-71.35,MA
1529,MILLVILLE,42.03,-71.58,MA
2350,MONPONSETT,42.02,-70.84,MA
2553,MONUMENT BEACH,41.71,-70.6,MA
2554,NANTUCKET,41.27,-70.1,MA
2564,SIASCONSET,41.27,-70,MA
2584,NANTUCKET,41.27,-70.1,MA
1760,NATICK,42.28,-71.35,MA
1531,NEW BRAINTREE,42.31,-72.13,MA
1950,NEWBURYPORT,42.81,-70.88,MA
1951,NEWBURY,42.8,-71,MA
1952,SALISBURY,42.83,-70.84,MA
2056,NORFOLK,42.11,-71.31,MA
2351,ABINGTON,42.11,-70.95,MA
1862,NORTH BILLERICA,42.57,-71.29,MA
1532,NORTHBOROUGH,42.31,-71.64,MA
1534,NORTHBRIDGE,42.15,-71.65,MA
1535,NORTH BROOKFIELD,42.27,-72.08,MA
2355,NORTH CARVER,41.91,-70.79,MA
2650,NORTH CHATHAM,41.7,-69.95,MA
1863,NORTH CHELMSFORD,42.63,-71.39,MA
2651,NORTH EASTHAM,41.84,-69.97,MA
2356,NORTH EASTON,42.05,-71.1,MA
2357,NORTH EASTON,42.05,-71.1,MA
2556,NORTH FALMOUTH,41.64,-70.63,MA
2565,SILVER BEACH,41.63,-70.64,MA
1536,NORTH GRAFTON,42.23,-71.69,MA
2059,NORTH MARSHFIELD,42.1,-70.71,MA
1537,NORTH OXFORD,42.16,-71.88,MA
2358,NORTH PEMBROKE,42.09,-70.78,MA
1864,NORTH READING,42.56,-71.06,MA
1889,NORTH READING,42.56,-71.06,MA
5544,ANDOVER,42.65,-71.14,MA
1430,ASHBURNHAM,42.63,-71.9,MA
1431,ASHBY,42.68,-71.81,MA
1721,ASHLAND,42.25,-71.46,MA
1501,AUBURN,42.2,-71.83,MA
2322,AVON,42.11,-71.03,MA
1432,AYER,42.56,-71.58,MA
1434,DEVENS,42.53,-71.61,MA
1436,BALDWINVILLE,42.6,-72.07,MA
2630,BARNSTABLE,41.7,-70.3,MA
1730,BEDFORD,42.48,-71.26,MA
1731,HANSCOM AFB,42.46,-71.28,MA
2019,BELLINGHAM,42.09,-71.47,MA
1503,BERLIN,42.38,-71.63,MA
1915,BEVERLY,42.55,-70.84,MA
1821,BILLERICA,42.55,-71.26,MA
1822,BILLERICA,42.55,-71.26,MA
1504,BLACKSTONE,42.01,-71.5,MA
1740,BOLTON,42.43,-71.6,MA
2108,BOSTON,42.35,-71.06,MA
2109,BOSTON,42.35,-71.06,MA
2110,BOSTON,42.35,-71.06,MA
2111,BOSTON,42.35,-71.06,MA
2112,BOSTON,42.35,-71.06,MA
2113,BOSTON,42.35,-71.06,MA
2114,BOSTON,42.35,-71.06,MA
2115,BOSTON,42.35,-71.06,MA
2116,BOSTON,42.35,-71.06,MA
2117,BOSTON,42.35,-71.06,MA
2118,BOSTON,42.35,-71.06,MA
2119,ROXBURY,42.35,-71.06,MA
2120,ROXBURY CROSSING,42.35,-71.06,MA
2121,DORCHESTER,42.35,-71.06,MA
2122,DORCHESTER,42.35,-71.06,MA
2123,BOSTON,42.35,-71.06,MA
2124,DORCHESTER CENTER,42.35,-71.06,MA
2125,DORCHESTER,42.35,-71.06,MA
2126,MATTAPAN,42.26,-71.1,MA
2127,BOSTON,42.35,-71.06,MA
2128,BOSTON,42.35,-71.06,MA
2129,CHARLESTOWN,42.38,-71.06,MA
2130,JAMAICA PLAIN,42.3,-71.11,MA
2131,ROSLINDALE,42.28,-71.13,MA
2132,WEST ROXBURY,42.28,-71.16,MA
2133,BOSTON,42.35,-71.06,MA
2134,ALLSTON,42.35,-71.13,MA
2135,BRIGHTON,42.35,-71.15,MA
2136,HYDE PARK,42.26,-71.11,MA
2137,READVILLE,42.25,-71.12,MA
2163,BOSTON,42.35,-71.06,MA
2196,BOSTON,42.35,-71.06,MA
2199,BOSTON,42.35,-71.06,MA
2201,BOSTON,42.35,-71.06,MA
2203,BOSTON,42.35,-71.06,MA
2204,BOSTON,42.35,-71.06,MA
2205,BOSTON,42.35,-71.06,MA
2206,BOSTON,42.35,-71.06,MA
2210,BOSTON,42.35,-71.06,MA
2211,BOSTON,42.35,-71.06,MA
2212,BOSTON,42.35,-71.06,MA
2215,BOSTON,42.35,-71.06,MA
2217,BOSTON,42.35,-71.06,MA
2222,BOSTON,42.35,-71.06,MA
2228,EAST BOSTON,42.35,-71.06,MA
2241,BOSTON,42.35,-71.06,MA
2266,BOSTON,42.35,-71.06,MA
2283,BOSTON,42.35,-71.06,MA
2284,BOSTON,42.35,-71.06,MA
2293,BOSTON,42.35,-71.06,MA
2295,BOSTON,42.35,-71.06,MA
2297,BOSTON,42.35,-71.06,MA
2298,BOSTON,42.34,-71.05,MA
1921,BOXFORD,42.67,-70.98,MA
1505,BOYLSTON,42.35,-71.73,MA
2020,BRANT ROCK,42.08,-70.64,MA
2631,BREWSTER,41.76,-70.08,MA
2324,BRIDGEWATER,41.98,-70.97,MA
2325,BRIDGEWATER,41.98,-70.97,MA
2301,BROCKTON,42.08,-71.02,MA
2302,BROCKTON,42.08,-71.02,MA
2303,BROCKTON,42.08,-71.02,MA
2304,BROCKTON,42.08,-71.02,MA
2305,BROCKTON,42.08,-71.02,MA
1506,BROOKFIELD,42.21,-72.1,MA
2327,BRYANTVILLE,42.06,-70.8,MA
1803,BURLINGTON,42.5,-71.2,MA
1805,BURLINGTON,42.5,-71.2,MA
2532,BUZZARDS BAY,41.75,-70.61,MA
2542,BUZZARDS BAY,41.75,-70.61,MA
1922,BYFIELD,42.75,-70.93,MA
2138,CAMBRIDGE,42.37,-71.11,MA
2139,CAMBRIDGE,42.37,-71.11,MA
2140,CAMBRIDGE,42.37,-71.11,MA
2141,CAMBRIDGE,42.37,-71.11,MA
2142,CAMBRIDGE,42.37,-71.11,MA
2238,CAMBRIDGE,42.37,-71.11,MA
2021,CANTON,42.15,-71.13,MA
1741,CARLISLE,42.53,-71.35,MA
2330,CARVER,41.88,-70.76,MA
2534,CATAUMET,41.66,-70.61,MA
2632,CENTERVILLE,41.66,-70.34,MA
2634,CENTERVILLE,41.66,-70.34,MA
1507,CHARLTON,42.13,-71.96,MA
1509,CHARLTON DEPOT,42.13,-71.96,MA
1508,CHARLTON CITY,42.13,-71.96,MA
2633,CHATHAM,41.67,-69.96,MA
1824,CHELMSFORD,42.59,-71.36,MA
2535,CHILMARK,41.34,-70.74,MA
2552,MENEMSHA,41.34,-70.73,MA
1510,CLINTON,42.41,-71.68,MA
2025,COHASSET,42.23,-70.8,MA
1742,CONCORD,42.45,-71.35,MA
2635,COTUIT,41.62,-70.44,MA
2652,NORTH TRURO,42.04,-70.09,MA
1538,NORTH UXBRIDGE,42.05,-71.64,MA
2061,NORWELL,42.16,-70.78,MA
2062,NORWOOD,42.18,-71.19,MA
1865,NUTTING LAKE,42.54,-71.25,MA
2557,OAK BLUFFS,41.45,-70.56,MA
2558,ONSET,41.74,-70.66,MA
2653,ORLEANS,41.79,-70,MA
2655,OSTERVILLE,41.62,-70.38,MA
1540,OXFORD,42.11,-71.87,MA
1960,PEABODY,42.53,-70.97,MA
1961,PEABODY,42.53,-70.97,MA
2359,PEMBROKE,42.06,-70.8,MA
1463,PEPPERELL,42.66,-71.58,MA
1866,PINEHURST,42.53,-71.23,MA
2360,PLYMOUTH,41.95,-70.66,MA
2361,PLYMOUTH,41.95,-70.66,MA
2362,PLYMOUTH,41.95,-70.66,MA
2367,PLYMPTON,41.95,-70.81,MA
2559,POCASSET,41.69,-70.63,MA
1965,PRIDES CROSSING,42.56,-70.86,MA
1541,PRINCETON,42.45,-71.86,MA
2657,PROVINCETOWN,42.06,-70.2,MA
2368,RANDOLPH,42.17,-71.05,MA
1867,READING,42.53,-71.1,MA
1542,ROCHDALE,42.2,-71.9,MA
2370,ROCKLAND,42.13,-70.91,MA
1966,ROCKPORT,42.64,-70.61,MA
1969,ROWLEY,42.71,-70.87,MA
1543,RUTLAND,42.36,-71.95,MA
2561,SAGAMORE,41.78,-70.53,MA
2562,SAGAMORE BEACH,41.79,-70.53,MA
1970,SALEM,42.51,-70.9,MA
1971,SALEM,42.51,-70.89,MA
2563,SANDWICH,41.75,-70.49,MA
2040,GREENBUSH,42.19,-70.76,MA
2055,MINOT,42.19,-70.76,MA
2060,NORTH SCITUATE,42.21,-70.76,MA
2066,SCITUATE,42.18,-70.73,MA
2067,SHARON,42.11,-71.18,MA
2070,SHELDONVILLE,42.05,-71.35,MA
1770,SHERBORN,42.23,-71.36,MA
1464,SHIRLEY,42.54,-71.65,MA
1545,SHREWSBURY,42.3,-71.71,MA
1546,SHREWSBURY,42.3,-71.71,MA
1745,FAYVILLE,42.29,-71.5,MA
1772,SOUTHBOROUGH,42.3,-71.51,MA
1550,SOUTHBRIDGE,42.08,-72.03,MA
2366,SOUTH CARVER,41.83,-70.72,MA
2659,SOUTH CHATHAM,41.68,-70.02,MA
2660,SOUTH DENNIS,41.7,-70.15,MA
2375,SOUTH EASTON,42.03,-71.1,MA
1560,SOUTH GRAFTON,42.17,-71.68,MA
1982,SOUTH HAMILTON,42.62,-70.86,MA
2661,SOUTH HARWICH,41.67,-70.04,MA
1561,SOUTH LANCASTER,42.43,-71.69,MA
2662,SOUTH ORLEANS,41.75,-69.99,MA
2071,SOUTH WALPOLE,42.09,-71.27,MA
2663,SOUTH WELLFLEET,41.89,-69.98,MA
2664,SOUTH YARMOUTH,41.67,-70.2,MA
2673,WEST YARMOUTH,41.65,-70.24,MA
1562,SPENCER,42.24,-71.99,MA
1564,STERLING,42.43,-71.75,MA
1467,STILL RIVER,42.49,-71.61,MA
2072,STOUGHTON,42.11,-71.1,MA
1775,STOW,42.43,-71.5,MA
1518,FISKDALE,42.12,-72.11,MA
1566,STURBRIDGE,42.09,-72.06,MA
1776,SUDBURY,42.36,-71.4,MA
1590,SUTTON,42.15,-71.76,MA
1468,TEMPLETON,42.55,-72.06,MA
1876,TEWKSBURY,42.61,-71.23,MA
1983,TOPSFIELD,42.63,-70.95,MA
1469,TOWNSEND,42.66,-71.7,MA
1474,WEST TOWNSEND,42.66,-71.74,MA
2666,TRURO,42,-70.06,MA
1879,TYNGSBORO,42.68,-71.41,MA
1569,UXBRIDGE,42.08,-71.6,MA
2568,VINEYARD HAVEN,41.45,-70.6,MA
2573,WEST CHOP,41.45,-70.6,MA
1880,WAKEFIELD,42.5,-71.06,MA
2081,WALPOLE,42.13,-71.24,MA
2571,WAREHAM,41.76,-70.71,MA
1778,WAYLAND,42.36,-71.36,MA
1570,WEBSTER,42.04,-71.87,MA
1571,DUDLEY,42.05,-71.93,MA
2667,WELLFLEET,41.93,-70.03,MA
2637,CUMMAQUID,41.7,-70.24,MA
1923,DANVERS,42.57,-70.95,MA
2026,DEDHAM,42.24,-71.17,MA
2027,DEDHAM,42.24,-71.17,MA
2638,DENNIS,41.73,-70.2,MA
2639,DENNIS PORT,41.66,-70.13,MA
2030,DOVER,42.24,-71.27,MA
1826,DRACUT,42.66,-71.3,MA
1827,DUNSTABLE,42.66,-71.48,MA
2331,DUXBURY,42.04,-70.67,MA
2332,DUXBURY,42.04,-70.67,MA
2333,EAST BRIDGEWATER,42.03,-70.95,MA
1515,EAST BROOKFIELD,42.22,-72.04,MA
2641,EAST DENNIS,41.74,-70.15,MA
1516,DOUGLAS,42.05,-71.73,MA
2536,EAST FALMOUTH,41.56,-70.55,MA
2642,EASTHAM,41.83,-69.96,MA
2334,EASTON,42.03,-71.1,MA
2643,EAST ORLEANS,41.74,-69.98,MA
1517,EAST PRINCETON,42.46,-71.89,MA
2537,EAST SANDWICH,41.73,-70.43,MA
1438,EAST TEMPLETON,42.53,-72.05,MA
2032,EAST WALPOLE,42.15,-71.21,MA
2538,EAST WAREHAM,41.77,-70.64,MA
2539,EDGARTOWN,41.38,-70.53,MA
2337,ELMWOOD,42.01,-70.96,MA
1929,ESSEX,42.63,-70.77,MA
2540,FALMOUTH,41.56,-70.62,MA
2541,FALMOUTH,41.54,-70.6,MA
2543,WOODS HOLE,41.52,-70.66,MA
1521,HOLLAND,42.05,-72.15,MA
1420,FITCHBURG,42.58,-71.81,MA
2644,FORESTDALE,41.68,-70.5,MA
2035,FOXBORO,42.06,-71.24,MA
1701,FRAMINGHAM,42.3,-71.43,MA
1702,FRAMINGHAM,42.3,-71.43,MA
1703,FRAMINGHAM,42.3,-71.43,MA
1704,FRAMINGHAM,42.3,-71.43,MA
1705,FRAMINGHAM,42.3,-71.43,MA
2038,FRANKLIN,42.08,-71.38,MA
1440,GARDNER,42.58,-71.98,MA
1930,GLOUCESTER,42.62,-70.66,MA
1931,GLOUCESTER,42.62,-70.66,MA
1519,GRAFTON,42.2,-71.68,MA
2041,GREEN HARBOR,42.1,-70.71,MA
1450,GROTON,42.6,-71.57,MA
1470,GROTON,42.6,-71.57,MA
1471,GROTON,42.6,-71.57,MA
2338,HALIFAX,41.98,-70.86,MA
1936,HAMILTON,42.61,-70.86,MA
2339,HANOVER,42.11,-70.81,MA
2340,HANOVER,42.11,-70.81,MA
2341,HANSON,42.06,-70.85,MA
1451,HARVARD,42.5,-71.58,MA
2645,HARWICH,41.69,-70.07,MA
2646,HARWICH PORT,41.66,-70.06,MA
